Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
180,University of Portland,"Private School, Religious, For Sports Fans","$75,700 ","$132,800 ",23%
181,Ithaca College,Private School,"$66,500 ","$132,700 ",9%
182,North Carolina State University at Raleigh,"Research University, For Sports Fans, State School","$73,200 ","$132,600 ",41%
182,Hobart William Smith Colleges,"Liberal Arts School, Private School","$69,100 ","$132,600 ",16%
182,University of Massachusetts-Lowell,"Research University, For Sports Fans, State School","$74,900 ","$132,600 ",34%
185,University of Delaware,"Party School, Research University, For Sports Fans, State School","$74,100 ","$132,300 ",24%
186,University of California-Riverside,"Research University, For Sports Fans, State School","$70,900 ","$132,200 ",36%
187,Trinity University,"Private School, Religious","$67,400 ","$132,000 ",25%
188,Wheaton College,"Liberal Arts School, Private School, Religious, Sober School","$68,300 ","$131,900 ",13%
189,Lawrence University,"Liberal Arts School, Private School","$62,200 ","$131,800 ",25%
190,University of Alabama in Huntsville,"Research University, State School","$73,000 ","$131,700 ",47%
190,Kalamazoo College,"Liberal Arts School, Private School","$65,200 ","$131,700 ",42%
192,George Mason University,"Research University, For Sports Fans, State School","$74,800 ","$131,400 ",23%
192,St Olaf College,"Liberal Arts School, Private School, Religious","$69,500 ","$131,400 ",25%
194,Connecticut College,"Liberal Arts School, Private School","$75,200 ","$131,200 ",31%
195,Rochester Institute of Technology,"Engineering, Private School, Research University","$80,300 ","$131,100 ",54%
196,Fashion Institute of Technology,State School,"$67,900 ","$130,900 ",0%
197,Marquette University,"Private School, Religious, Research University, For Sports Fans","$74,000 ","$130,800 ",24%
198,Pratt Institute-Main,"Art, Private School","$67,000 ","$130,600 ",10%
199,DePaul University,"Private School, Religious, Research University, For Sports Fans","$70,200 ","$130,500 ",16%
200,St. John's University-New York,"Private School, Religious, Research University, For Sports Fans","$68,300 ","$130,400 ",11%
201,Walla Walla University,"Private School, Religious","$66,700 ","$130,100 ",18%
202,Marist College,"Private School, For Sports Fans","$71,800 ","$129,900 ",13%
202,Whittier College,"Liberal Arts School, Private School","$66,300 ","$129,900 ",14%
202,Colby College,"Liberal Arts School, Private School","$76,600 ","$129,900 ",30%
205,Purdue University-Main Campus,"Research University, For Sports Fans, State School","$77,600 ","$129,800 ",44%
206,Ohio Northern University,"Private School, Religious","$72,400 ","$129,700 ",27%
