Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
676,Wayne State University,"Research University, State School","$65,300 ","$106,600 ",16%
676,Salisbury University,State School,"$63,200 ","$106,600 ",11%
680,Stockton University,State School,"$59,200 ","$106,500 ",13%
681,Gwynedd Mercy University,"Private School, Religious","$67,700 ","$106,400 ",2%
681,Oklahoma Christian University,"Private School, Religious","$62,100 ","$106,400 ",27%
681,University of South Dakota,"Research University, For Sports Fans, State School","$58,700 ","$106,400 ",7%
681,Indiana Institute of Technology,"Business, Private School","$63,900 ","$106,400 ",17%
681,Colorado State University Pueblo,State School,"$60,600 ","$106,400 ",10%
686,St. Joseph's University-New York,Private School,"$64,700 ","$106,300 ",5%
686,Dominican University of California,Private School,"$71,400 ","$106,300 ",22%
688,King's College,"Private School, Religious","$60,200 ","$106,200 ",12%
688,York College of Pennsylvania,Private School,"$65,400 ","$106,200 ",16%
688,University of Minnesota-Crookston,State School,"$65,900 ","$106,200 ",4%
688,University of Mississippi,"Research University, For Sports Fans, State School","$62,000 ","$106,200 ",12%
692,SUNY College at Potsdam,State School,"$56,000 ","$106,100 ",9%
692,Regis College,"Private School, Religious","$68,900 ","$106,100 ",2%
694,Albright College,"Liberal Arts School, Private School, Religious","$63,000 ","$106,000 ",13%
694,South Dakota State University,"Research University, For Sports Fans, State School","$64,200 ","$106,000 ",18%
694,Winona State University,State School,"$64,700 ","$106,000 ",11%
697,Whitworth University,"Private School, Religious","$63,800 ","$105,900 ",16%
697,Marian University (Wisconsin),"Private School, Religious","$56,800 ","$105,900 ",3%
697,Georgia Southern University,"Research University, For Sports Fans, State School","$62,600 ","$105,900 ",17%
700,Cedarville University,"Private School, Religious","$66,700 ","$105,800 ",16%
700,Bob Jones University,"Private School, Religious","$60,300 ","$105,800 ",9%
700,McNeese State University,"For Sports Fans, State School","$63,100 ","$105,800 ",15%
703,Delaware Valley University,Private School,"$57,800 ","$105,700 ",11%
703,Northwood University,"Business, Private School","$59,700 ","$105,700 ",1%
705,University of Wisconsin-Stout,State School,"$64,800 ","$105,600 ",23%
705,Metropolitan State University of Denver,State School,"$63,300 ","$105,600 ",12%
705,University of Missouri-St Louis,"Research University, State School","$63,800 ","$105,600 ",18%
708,Pacific Northwest College of Art,"Art, Private School","$58,400 ","$105,500 ",0%
709,Walsh University,"Private School, Religious","$59,100 ","$105,400 ",8%
709,Christopher Newport University,State School,"$66,300 ","$105,400 ",27%
709,Millikin University,Private School,"$58,700 ","$105,400 ",9%
709,University of Saint Mary,"Private School, Religious","$63,200 ","$105,400 ",11%
713,The King's College,"Liberal Arts School, Private School, Religious","$66,600 ","$105,300 ",0%
713,Concordia University Texas,"Private School, Religious","$63,500 ","$105,300 ",3%
713,Northwest Missouri State University,State School,"$59,500 ","$105,300 ",11%
713,Newman University,"Private School, Religious","$56,800 ","$105,300 ",7%
717,Immaculata University,"Private School, Religious, Research University","$64,200 ","$105,200 ",5%
717,High Point University,"Private School, Religious, For Sports Fans","$62,900 ","$105,200 ",8%
717,Goddard College,Private School,"$61,900 ","$105,200 ",0%
720,Mount Saint Mary College,"Private School, Religious, For Sports Fans","$68,300 ","$105,100 ",8%
720,Universidad del Sagrado Corazon,"Private School, Religious","$58,800 ","$105,100 ",4%
720,Saint Francis University,"Private School, Religious, For Sports Fans","$63,000 ","$105,100 ",10%
723,The University of Findlay,"Private School, Religious","$60,700 ","$105,000 ",5%
723,Northwest University,"Private School, Religious","$67,400 ","$105,000 ",6%
723,Western Illinois University,"For Sports Fans, State School","$57,500 ","$105,000 ",11%
726,Youngstown State University,"For Sports Fans, State School","$61,700 ","$104,900 ",16%
726,Millersville University of Pennsylvania,State School,"$59,300 ","$104,900 ",16%
726,State University of New York at Oswego,State School,"$58,100 ","$104,900 ",12%
726,The University of Tennessee-Chattanooga,"For Sports Fans, State School","$58,300 ","$104,900 ",16%
726,Graceland University-Lamoni,"Private School, Religious","$60,700 ","$104,900 ",4%
731,Robert Morris University,"Private School, Research University, For Sports Fans","$61,900 ","$104,800 ",17%
731,The College of Idaho,"Liberal Arts School, Private School","$57,800 ","$104,800 ",22%
731,Northern Kentucky University,"For Sports Fans, State School","$62,700 ","$104,800 ",8%
734,University of Northern Colorado,"Research University, For Sports Fans, State School","$60,800 ","$104,700 ",9%
735,Edgewood College,"Private School, Religious, Research University","$60,700 ","$104,600 ",9%
735,West Texas A & M University,State School,"$59,000 ","$104,600 ",9%
735,Berry College,"Private School, Sober School","$56,700 ","$104,600 ",20%
735,Bellarmine University,"Private School, Religious","$60,300 ","$104,600 ",8%
739,Queens University of Charlotte,"Private School, Religious","$64,100 ","$104,500 ",6%
739,Elizabethtown College,"Liberal Arts School, Private School","$64,100 ","$104,500 ",16%
739,La Sierra University,"Private School, Religious","$65,800 ","$104,500 ",7%
739,Hastings College,"Private School, Religious","$61,400 ","$104,500 ",15%
739,Pittsburg State University,State School,"$59,700 ","$104,500 ",6%
744,Holy Family University,"Private School, Religious","$62,300 ","$104,400 ",5%
744,Eastern Washington University,"For Sports Fans, State School","$64,700 ","$104,400 ",15%
744,Northwestern College,"Private School, Religious","$59,500 ","$104,400 ",6%
747,Upstate Medical University,State School,"$71,500 ","$104,300 ",4%
747,Ferrum College,"Private School, Religious","$49,500 ","$104,300 ",10%
747,University of Saint Joseph,"Private School, Religious","$68,500 ","$104,300 ",9%
747,Holy Names University,"Private School, Religious","$64,900 ","$104,300 ",3%
747,Culver-Stockton College,"Private School, Religious","$54,200 ","$104,300 ",3%
747,Wartburg College,"Liberal Arts School, Private School, Religious","$61,500 ","$104,300 ",26%
753,Johnson C Smith University,"Liberal Arts School, Private School","$61,400 ","$104,200 ",20%
753,Monmouth College,"Liberal Arts School, Private School, Religious","$61,200 ","$104,200 ",15%
755,University of Mount Union,Private School,"$57,900 ","$104,100 ",17%
755,Florida Southern College,"Private School, Religious","$59,300 ","$104,100 ",20%
755,Roosevelt University,Private School,"$60,900 ","$104,100 ",10%
755,Union College (Nebraska),"Private School, Religious","$65,000 ","$104,100 ",28%
755,Coe College,"Liberal Arts School, Private School, Religious","$58,700 ","$104,100 ",25%
755,Xavier University of Louisiana,"Private School, Religious","$56,700 ","$104,100 ",28%
755,Franciscan Missionaries of Our Lady University,"Private School, Religious","$63,100 ","$104,100 ",2%
762,Neumann University,"Private School, Religious","$63,500 ","$104,000 ",4%
762,Kean University,State School,"$61,100 ","$104,000 ",13%
762,Rosemont College,"Private School, Religious","$59,000 ","$104,000 ",3%
762,Herzing University-Birmingham,Private School,"$60,800 ","$104,000 ",0%
762,University of Alabama at Birmingham,"Research University, For Sports Fans, State School","$61,400 ","$104,000 ",20%
762,Endicott College,Private School,"$64,700 ","$104,000 ",3%
768,Southern Oregon University,State School,"$59,600 ","$103,900 ",8%
768,East Carolina University,"Research University, For Sports Fans, State School","$62,100 ","$103,900 ",12%
768,Columbia College Chicago,"Art, Private School","$58,700 ","$103,900 ",1%
768,Colby-Sawyer College,Private School,"$60,500 ","$103,900 ",10%
768,University of Louisville,"Research University, For Sports Fans, State School","$63,100 ","$103,900 ",20%
773,Eastern Illinois University,"For Sports Fans, State School","$57,500 ","$103,800 ",7%
773,Tuskegee University,Private School,"$70,700 ","$103,800 ",29%
775,Oral Roberts University,"Private School, Religious, For Sports Fans","$58,700 ","$103,700 ",9%
775,University of Arkansas Grantham,State School,"$69,800 ","$103,700 ",9%
775,Southern Utah University,"For Sports Fans, State School","$57,900 ","$103,700 ",5%
775,School of the Art Institute of Chicago,"Art, Private School","$59,500 ","$103,700 ",0%
779,Mount Carmel College of Nursing,"Private School, Religious","$70,300 ","$103,600 ",0%
779,Otterbein University,"Private School, Religious","$59,700 ","$103,600 ",14%
779,Webber International University,Private School,"$57,900 ","$103,600 ",5%
779,University of St Francis,"Private School, Religious","$62,800 ","$103,600 ",4%
779,St Catherine University,"Private School, Religious","$63,200 ","$103,600 ",2%
784,Cleveland State University,"Research University, For Sports Fans, State School","$61,800 ","$103,500 ",22%
784,Indiana University of Pennsylvania-Main Campus,"Party School, Research University, State School","$59,300 ","$103,500 ",8%
784,Slippery Rock University of Pennsylvania,State School,"$59,000 ","$103,500 ",10%
784,California State University-San Bernardino,State School,"$59,500 ","$103,500 ",12%
784,Eastern Connecticut State University,State School,"$64,100 ","$103,500 ",11%
784,Southeastern Louisiana University,"For Sports Fans, State School","$58,300 ","$103,500 ",9%
790,Gannon University,"Private School, Religious","$64,800 ","$103,400 ",14%
790,Universidad Ana G. Mendez-Gurabo Campus,"Private School, Research University","$54,600 ","$103,400 ",12%
790,Savannah College of Art and Design,Private School,"$61,000 ","$103,400 ",5%
790,Webster University,Private School,"$60,400 ","$103,400 ",4%
794,University of Jamestown,"Private School, Religious","$60,300 ","$103,300 ",9%
794,Texas A & M University-Corpus Christi,"Research University, For Sports Fans, State School","$60,500 ","$103,300 ",14%
794,Nova Southeastern University,"Private School, Research University","$62,500 ","$103,300 ",11%
794,California State University-Dominguez Hills,State School,"$60,200 ","$103,300 ",8%
798,Langston University,State School,"$57,800 ","$103,200 ",5%
798,University of Mary Hardin-Baylor,"Private School, Religious","$63,100 ","$103,200 ",11%
798,University of Northern Iowa,"For Sports Fans, State School","$59,200 ","$103,200 ",7%
801,Hanover College,"Liberal Arts School, Private School, Religious","$59,800 ","$103,100 ",26%
801,National Louis University,"Private School, Research University","$58,100 ","$103,100 ",1%
801,Eastern Michigan University,"Research University, For Sports Fans, State School","$60,500 ","$103,100 ",10%
801,Sterling College,Private School,"$52,700 ","$103,100 ",5%
801,University of Baltimore,State School,"$65,400 ","$103,100 ",6%
806,Nevada State College,State School,"$67,500 ","$103,000 ",4%
806,University of Puerto Rico-Medical Sciences,State School,"$56,900 ","$103,000 ",4%
806,Idaho State University,"Research University, For Sports Fans, State School","$61,800 ","$103,000 ",8%
809,Bellevue University,Private School,"$62,700 ","$102,900 ",17%
810,Indiana State University,"Research University, For Sports Fans, State School","$60,300 ","$102,800 ",8%
810,Wichita State University,"Research University, For Sports Fans, State School","$62,100 ","$102,800 ",22%
812,CUNY John Jay College of Criminal Justice,State School,"$59,300 ","$102,700 ",6%
812,Whitworth University-Adult Degree Programs,"Private School, Religious","$63,700 ","$102,700 ",0%
812,Austin College,"Liberal Arts School, Private School, Religious","$67,300 ","$102,700 ",21%
812,Spelman College,"Liberal Arts School, Private School","$68,000 ","$102,700 ",24%
812,Elmhurst University,"Private School, Religious","$63,200 ","$102,700 ",11%
812,University of Minnesota-Morris,"Liberal Arts School, State School","$57,800 ","$102,700 ",35%
818,Corban University,"Private School, Religious","$55,200 ","$102,600 ",3%
818,Appalachian State University,"For Sports Fans, State School","$60,100 ","$102,600 ",8%
818,Lenoir-Rhyne University,"Private School, Religious","$56,600 ","$102,600 ",7%
818,SUNY Cortland,State School,"$57,600 ","$102,600 ",6%
818,University of Wisconsin-Oshkosh,State School,"$61,900 ","$102,600 ",7%
818,Boise State University,"Research University, For Sports Fans, State School","$64,200 ","$102,600 ",14%
818,Vanguard University of Southern California,"Private School, Religious","$61,600 ","$102,600 ",4%
825,Kent State University at Kent,"Research University, For Sports Fans, State School","$58,100 ","$102,500 ",10%
825,Barry University,"Private School, Religious, Research University","$60,700 ","$102,500 ",11%
825,Charter Oak State College,"Liberal Arts School, State School","$62,700 ","$102,500 ",0%
825,Transylvania University,"Liberal Arts School, Private School, Religious","$60,000 ","$102,500 ",29%
829,Kettering College,"Private School, Religious","$64,700 ","$102,400 ",0%
829,University of Wisconsin-Parkside,"Liberal Arts School, State School","$60,700 ","$102,400 ",12%
829,Greenville University,"Private School, Religious","$55,300 ","$102,400 ",7%
829,Western Connecticut State University,State School,"$65,900 ","$102,400 ",5%
833,Niagara University,"Private School, Religious, For Sports Fans","$55,300 ","$102,300 ",7%
833,Northeastern Illinois University,State School,"$60,900 ","$102,300 ",15%
833,Centre College,"Liberal Arts School, Private School, Religious","$61,400 ","$102,300 ",26%
836,Mercy College,Private School,"$59,200 ","$102,200 ",5%
836,Presbyterian College,"Liberal Arts School, Private School, Religious, For Sports Fans","$61,200 ","$102,200 ",23%
836,Plymouth State University,State School,"$60,200 ","$102,200 ",7%
836,Ferris State University,State School,"$62,700 ","$102,200 ",7%
836,Doane University,"Liberal Arts School, Private School","$54,800 ","$102,200 ",9%
841,Cameron University,State School,"$54,000 ","$102,100 ",17%
841,University of North Carolina Wilmington,"For Sports Fans, State School","$59,500 ","$102,100 ",12%
841,Elmira College,"Liberal Arts School, Private School","$60,200 ","$102,100 ",8%
841,CUNY York College,State School,"$60,400 ","$102,100 ",12%
841,Lipscomb University,"Private School, Religious, Research University, For Sports Fans","$62,700 ","$102,100 ",12%
841,Anna Maria College,"Private School, Religious","$59,700 ","$102,100 ",0%
847,Arcadia University,"Private School, Religious","$55,500 ","$102,000 ",10%
847,State University of New York at New Paltz,State School,"$61,600 ","$102,000 ",13%
847,Midwestern State University,State School,"$63,000 ","$102,000 ",11%
850,Andrews University,"Private School, Religious, Research University","$60,100 ","$101,900 ",8%
850,Luther College,"Liberal Arts School, Private School, Religious","$61,000 ","$101,900 ",18%
850,Nicholls State University,"For Sports Fans, State School","$56,000 ","$101,900 ",6%
853,Capital University,"Private School, Religious","$58,300 ","$101,800 ",7%
853,Randolph-Macon College,"Liberal Arts School, Private School, Religious","$58,700 ","$101,800 ",29%
853,University of West Georgia,"Research University, State School","$59,400 ","$101,800 ",6%
856,Franklin University,"Business, Private School","$58,500 ","$101,700 ",7%
856,Indiana University-Purdue University-Indianapolis,"Research University, For Sports Fans, State School","$64,300 ","$101,700 ",15%
856,Alaska Pacific University,"Private School, Religious","$59,000 ","$101,700 ",0%
856,University of Nebraska Medical Center,State School,"$70,300 ","$101,700 ",8%
856,Park University,Private School,"$61,400 ","$101,700 ",10%
861,University of Puerto Rico-Rio Piedras,"Research University, State School","$56,400 ","$101,600 ",16%
861,Worcester State University,State School,"$63,900 ","$101,600 ",11%
861,Baker University,"Private School, Religious","$60,900 ","$101,600 ",3%
864,Purdue University Fort Wayne,"For Sports Fans, State School","$62,600 ","$101,500 ",22%
864,John Brown University,Private School,"$61,700 ","$101,500 ",11%
864,Grand Valley State University,State School,"$61,100 ","$101,500 ",16%
864,Maryland Institute College of Art,"Art, Private School","$65,400 ","$101,500 ",0%
868,South Carolina State University,"For Sports Fans, State School","$55,400 ","$101,400 ",16%
868,Northwest Nazarene University,"Private School, Religious","$59,200 ","$101,400 ",10%
870,Tarleton State University,State School,"$59,100 ","$101,300 ",7%
870,Nebraska Methodist College of Nursing & Allied Health,"Private School, Religious","$70,400 ","$101,300 ",0%
872,Shawnee State University,State School,"$59,200 ","$101,200 ",10%
872,McKendree University,"Private School, Religious","$59,200 ","$101,200 ",7%
872,Goldey-Beacom College,"Business, Private School","$63,400 ","$101,200 ",0%
875,Daemen University,Private School,"$60,200 ","$101,100 ",1%
875,Utica University,Private School,"$60,700 ","$101,100 ",4%
875,University of Wisconsin-Stevens Point,State School,"$57,600 ","$101,100 ",11%
875,Franklin Pierce University,Private School,"$58,700 ","$101,100 ",3%
879,Rivier University,"Private School, Religious","$64,900 ","$101,000 ",9%
880,Mercer University,"Private School, Research University, For Sports Fans","$63,700 ","$100,900 ",15%
880,Southern University and A & M College,"For Sports Fans, State School","$64,000 ","$100,900 ",14%
882,SUNY College at Plattsburgh,State School,"$59,700 ","$100,800 ",11%
882,Trinity Christian College,"Private School, Religious","$63,000 ","$100,800 ",7%
882,Manchester University,"Private School, Religious","$59,400 ","$100,800 ",16%
885,Cumberland University,Private School,"$57,800 ","$100,700 ",4%
885,Ouachita Baptist University,"Liberal Arts School, Private School, Religious","$54,000 ","$100,700 ",14%
885,Concordia College at Moorhead,"Liberal Arts School, Private School, Religious","$59,800 ","$100,700 ",23%
885,University of Holy Cross,"Private School, Religious","$58,200 ","$100,700 ",8%
885,Bowie State University,State School,"$61,200 ","$100,700 ",18%
885,Saint Joseph's College of Maine,"Private School, Religious","$59,700 ","$100,700 ",4%
891,Rocky Mountain College,"Private School, Religious","$61,200 ","$100,600 ",15%
891,University of Nebraska at Kearney,State School,"$57,700 ","$100,600 ",11%
893,D'Youville University,Private School,"$62,700 ","$100,500 ",3%
893,Roanoke College,"Liberal Arts School, Private School, Religious","$62,000 ","$100,500 ",18%
893,Walsh College,"Business, Private School","$64,300 ","$100,500 ",10%
893,Central Michigan University,"Research University, For Sports Fans, State School","$61,400 ","$100,500 ",11%
893,Bridgewater State University,State School,"$62,900 ","$100,500 ",9%
898,Marymount Manhattan College,"Liberal Arts School, Private School","$63,600 ","$100,400 ",2%
898,New Jersey City University,State School,"$62,200 ","$100,400 ",9%
898,The University of Texas at Tyler,State School,"$63,800 ","$100,400 ",13%
898,New England College,Private School,"$54,500 ","$100,400 ",45%
898,Barnes-Jewish College Goldfarb School of Nursing,Private School,"$69,200 ","$100,400 ",0%
903,Alabama A & M University,"For Sports Fans, State School","$64,400 ","$100,300 ",32%
903,Muskingum University,"Private School, Religious","$56,500 ","$100,300 ",10%
903,Centenary University,"Private School, Religious","$60,400 ","$100,300 ",2%
903,Trevecca Nazarene University,"Private School, Religious, Research University","$57,700 ","$100,300 ",4%
903,University of Central Arkansas,"For Sports Fans, State School","$56,500 ","$100,300 ",10%
903,Allen College,Private School,"$64,200 ","$100,300 ",0%
909,Keene State College,State School,"$63,100 ","$100,200 ",7%
910,Sweet Briar College,"Liberal Arts School, Private School","$55,500 ","$100,100 ",38%
910,Radford University,"For Sports Fans, State School","$62,200 ","$100,100 ",8%
912,Concord University,State School,"$57,600 ","$100,000 ",13%
912,New College of Florida,"Liberal Arts School, State School","$55,700 ","$100,000 ",0%
914,Bloomfield College,"Liberal Arts School, Private School, Religious","$59,400 ","$99,900 ",16%
914,New York School of Interior Design,"Art, Private School","$61,300 ","$99,900 ",0%
916,Hiram College,"Liberal Arts School, Private School","$58,100 ","$99,800 ",17%
916,St. Thomas Aquinas College,Private School,"$61,400 ","$99,800 ",7%
916,The Evergreen State College,State School,"$59,600 ","$99,800 ",0%
916,Shenandoah University,"Private School, Religious, Research University","$63,800 ","$99,800 ",10%
916,Freed-Hardeman University,"Private School, Religious","$56,000 ","$99,800 ",6%
916,University of Memphis,"Research University, For Sports Fans, State School","$61,200 ","$99,800 ",14%
916,Valdosta State University,"Research University, State School","$56,300 ","$99,800 ",6%
916,Ball State University,"Research University, For Sports Fans, State School","$57,800 ","$99,800 ",6%
916,Minnesota State University Moorhead,State School,"$57,400 ","$99,800 ",7%
925,Southern Nazarene University,"Private School, Religious","$59,200 ","$99,700 ",3%
925,Oklahoma City University,"Private School, Religious","$63,500 ","$99,700 ",4%
925,Wells College,"Liberal Arts School, Private School","$58,400 ","$99,700 ",42%
925,Metropolitan State University,State School,"$65,300 ","$99,700 ",16%
925,Salem State University,State School,"$61,600 ","$99,700 ",7%
930,Baldwin Wallace University,Private School,"$57,400 ","$99,600 ",11%
930,Middle Tennessee State University,"Research University, Sober School, For Sports Fans, State School","$59,800 ","$99,600 ",11%
930,Florida Agricultural and Mechanical University,"Research University, For Sports Fans, State School","$60,900 ","$99,600 ",9%
933,Campbell University,"Private School, Religious, For Sports Fans","$59,500 ","$99,500 ",10%
933,Methodist University,"Private School, Religious","$58,300 ","$99,500 ",8%
933,University of Charleston,"Business, Private School","$58,000 ","$99,500 ",2%
933,Agnes Scott College,"Liberal Arts School, Private School, Religious, Sober School","$59,900 ","$99,500 ",21%
933,Lasell University,Private School,"$57,700 ","$99,500 ",1%
938,East Stroudsburg University of Pennsylvania,State School,"$59,000 ","$99,400 ",12%
939,Mayville State University,State School,"$54,700 ","$99,300 ",7%
939,Ashland University,"Private School, Religious, Research University","$58,300 ","$99,300 ",8%
939,University of the Virgin Islands,State School,"$56,900 ","$99,300 ",20%
939,Baptist Health Sciences University,"Private School, Religious","$69,100 ","$99,300 ",3%
939,University of Indianapolis,"Private School, Religious","$61,100 ","$99,300 ",6%
939,Adams State University,State School,"$57,100 ","$99,300 ",3%
939,Hope International University,"Private School, Religious","$53,400 ","$99,300 ",0%
939,Notre Dame of Maryland University,"Private School, Religious","$60,600 ","$99,300 ",4%
947,Cleveland Institute of Art,"Art, Private School","$55,700 ","$99,200 ",0%
947,Augusta University,"Research University, State School","$56,700 ","$99,200 ",13%
947,Belmont University,"Private School, Religious, For Sports Fans","$60,600 ","$99,200 ",4%
947,Saint Ambrose University,"Private School, Religious","$59,700 ","$99,200 ",11%
951,Lake Erie College,Private School,"$53,400 ","$99,000 ",5%
951,University of North Carolina School of the Arts,"Art, State School","$59,400 ","$99,000 ",0%
951,The College of Saint Rose,Private School,"$56,300 ","$99,000 ",3%
951,Rockford University,Private School,"$58,900 ","$99,000 ",10%
951,University of Central Missouri,State School,"$60,300 ","$99,000 ",18%
951,American International College,"Private School, Research University","$67,900 ","$99,000 ",0%
957,Daytona State College,State School,"$55,000 ","$98,900 ",4%
957,Indiana Wesleyan University-Marion,"Private School, Religious","$59,900 ","$98,900 ",7%
957,University of Southern Maine,State School,"$60,700 ","$98,900 ",9%
960,The College of Saint Scholastica,"Private School, Religious","$68,600 ","$98,800 ",9%
960,Ottawa University-Ottawa,"Private School, Religious","$62,600 ","$98,800 ",6%
962,University of Arkansas at Little Rock,"Research University, For Sports Fans, State School","$59,800 ","$98,700 ",12%
963,Chatham University,Private School,"$54,500 ","$98,600 ",11%
963,University of Arkansas at Monticello,State School,"$55,900 ","$98,600 ",1%
963,Western Colorado University,State School,"$61,700 ","$98,600 ",19%
966,University of Central Oklahoma,State School,"$57,800 ","$98,500 ",11%
966,Wheeling University,"Private School, Religious","$57,800 ","$98,500 ",3%
966,Newberry College,"Private School, Religious","$53,400 ","$98,500 ",5%
966,The University of West Florida,"Research University, State School","$58,200 ","$98,500 ",12%
966,Saint Leo University,"Private School, Religious","$57,000 ","$98,500 ",8%
966,Lakeview College of Nursing,Private School,"$68,400 ","$98,500 ",0%
966,Albertus Magnus College,"Private School, Religious","$64,900 ","$98,500 ",2%
966,Montana State University-Northern,State School,"$60,300 ","$98,500 ",1%
974,Defiance College,"Private School, Religious","$52,900 ","$98,400 ",5%
974,Kutztown University of Pennsylvania,State School,"$56,900 ","$98,400 ",11%
976,CUNY Lehman College,State School,"$62,000 ","$98,300 ",10%
976,Rhode Island College,State School,"$60,800 ","$98,300 ",6%
976,Clark Atlanta University,"Private School, Religious, Research University","$58,300 ","$98,300 ",11%
976,Fresno Pacific University,"Private School, Religious","$58,800 ","$98,300 ",2%
976,Lake Superior State University,State School,"$59,100 ","$98,300 ",21%
976,Washburn University,State School,"$59,300 ","$98,300 ",5%
982,Murray State University,"For Sports Fans, State School","$57,500 ","$98,200 ",9%
983,Northcentral University,"Private School, Research University","$59,900 ","$98,100 ",3%
983,Texas A&M University-Texarkana,State School,"$50,900 ","$98,100 ",14%
983,Southern Connecticut State University,State School,"$62,200 ","$98,100 ",7%
986,Cardinal Stritch University,"Private School, Religious, Research University","$61,200 ","$98,000 ",3%
986,Concordia University-Wisconsin,"Private School, Religious","$60,100 ","$98,000 ",6%
986,LaGrange College,"Liberal Arts School, Private School, Religious","$52,300 ","$98,000 ",5%
986,Fort Lewis College,"Liberal Arts School, State School","$59,200 ","$98,000 ",17%
986,Oakland City University,"Private School, Religious","$52,600 ","$98,000 ",3%
986,University of Maryland Eastern Shore,"Research University, For Sports Fans, State School","$59,300 ","$98,000 ",19%
992,Alliance University,"Private School, Religious","$60,400 ","$97,900 ",3%
992,Auburn University at Montgomery,State School,"$58,200 ","$97,900 ",16%
992,Kansas City Art Institute,"Art, Private School","$55,000 ","$97,900 ",0%
995,Southeastern Oklahoma State University,State School,"$55,700 ","$97,800 ",6%
995,Avila University,"Private School, Religious","$56,700 ","$97,800 ",7%
997,Eastern University,"Private School, Religious","$56,400 ","$97,700 ",3%
997,University of Sioux Falls,"Private School, Religious","$56,600 ","$97,700 ",4%
997,Covenant College,"Liberal Arts School, Private School, Religious","$57,000 ","$97,700 ",19%
997,Bemidji State University,State School,"$61,500 ","$97,700 ",9%
997,Union College (Kentucky),"Private School, Religious","$47,700 ","$97,700 ",1%
1002,Emory & Henry College,"Liberal Arts School, Private School, Religious","$52,000 ","$97,600 ",5%
1002,Western Kentucky University,"For Sports Fans, State School","$57,000 ","$97,600 ",9%
1004,Saint Elizabeth University,"Private School, Religious","$62,100 ","$97,500 ",6%
1004,Westfield State University,State School,"$60,700 ","$97,500 ",8%
1006,University of Virginia's College at Wise,"Liberal Arts School, State School","$55,000 ","$97,400 ",4%
1006,Grace College and Theological Seminary,"Private School, Religious","$55,500 ","$97,400 ",3%
1006,Clarkson College,"Private School, Religious","$66,600 ","$97,400 ",0%
1009,Texas Woman's University,"Research University, State School","$58,900 ","$97,300 ",5%
1009,Indiana University-Kokomo,State School,"$55,200 ","$97,300 ",5%
1011,Virginia State University,State School,"$59,300 ","$97,200 ",12%
1011,Inter American University of Puerto Rico-San German,Private School,"$54,400 ","$97,200 ",25%
1011,Ringling College of Art and Design,"Art, Private School","$63,700 ","$97,200 ",0%
1011,University of the District of Columbia,State School,"$63,800 ","$97,200 ",17%
1011,Clarke University,"Private School, Religious","$59,400 ","$97,200 ",8%
1016,Wisconsin Lutheran College,"Private School, Religious","$63,900 ","$97,100 ",17%
1016,North Park University,"Private School, Religious","$59,300 ","$97,100 ",9%
1016,Olivet College,"Private School, Religious","$56,800 ","$97,100 ",10%
1019,Heidelberg University,"Private School, Religious","$57,700 ","$97,000 ",7%
1019,Alderson Broaddus University,"Private School, Religious","$59,500 ","$97,000 ",14%
1019,Antioch University-Los Angeles,Private School,"$62,400 ","$97,000 ",0%
1022,Pontifical Catholic University of Puerto Rico-Ponce,"Private School, Religious, Research University","$51,800 ","$96,900 ",20%
1022,University of Wisconsin-Superior,State School,"$55,300 ","$96,900 ",7%
1022,Angelo State University,State School,"$60,700 ","$96,900 ",10%
1022,Piedmont University,"Private School, Religious","$53,500 ","$96,900 ",1%
1022,Aurora University,Private School,"$60,500 ","$96,900 ",3%
1027,Ohio Dominican University,"Private School, Religious","$58,600 ","$96,800 ",8%
1027,University of Guam,State School,"$57,900 ","$96,800 ",17%
1027,Dakota Wesleyan University,"Private School, Religious","$57,600 ","$96,800 ",4%
1030,Point Park University,Private School,"$55,800 ","$96,700 ",4%
1030,Georgia College & State University,State School,"$58,500 ","$96,700 ",10%
1030,Southeastern University,"Private School, Religious","$52,400 ","$96,700 ",1%
1030,University of South Alabama,"Research University, For Sports Fans, State School","$60,000 ","$96,700 ",14%
1030,Delaware State University,"For Sports Fans, State School","$57,700 ","$96,700 ",10%
1030,Southeast Missouri State University,"For Sports Fans, State School","$55,300 ","$96,700 ",13%
1030,Lindenwood University,"Private School, Research University","$60,000 ","$96,700 ",10%
1030,Spalding University,"Private School, Religious, Research University","$59,200 ","$96,700 ",0%
1038,Western Oregon University,State School,"$57,900 ","$96,600 ",7%
1038,University of Pittsburgh-Bradford,State School,"$52,900 ","$96,600 ",21%
1038,Pennsylvania College of Technology,State School,"$67,100 ","$96,600 ",9%
1038,University of Wisconsin-River Falls,State School,"$60,800 ","$96,600 ",13%
1042,Wilberforce University,"Private School, Religious","$51,900 ","$96,500 ",10%
1042,Missouri Western State University,State School,"$54,900 ","$96,500 ",9%
1044,Chadron State College,State School,"$53,000 ","$96,400 ",4%
1045,Inter American University of Puerto Rico-Bayamon,Private School,"$63,500 ","$96,300 ",32%
1045,Jacksonville State University,"For Sports Fans, State School","$55,900 ","$96,300 ",8%
1047,Northeastern State University,State School,"$56,800 ","$96,200 ",7%
1047,Multnomah University,Private School,"$50,400 ","$96,200 ",6%
1047,Roberts Wesleyan University,"Private School, Religious","$59,700 ","$96,200 ",4%
1047,Union University,"Private School, Religious, Research University","$59,800 ","$96,200 ",5%
